reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
af4c77f2-fecd-48ba-acad-e09a7f220ed8,Hary Zack,https://play-lh.googleusercontent.com/a-/ALV-UjXcCRWKspByZpmKsK-u9OxoSNgsLm0OeeV02DujAYDILyePfJu8,Amazing,4,0,0.0.392,2026-01-28 12:12:33,,,0.0.392
2a2b0c67-b1b5-4041-a521-396d7287b35b,Winnie Gimoro,https://play-lh.googleusercontent.com/a-/ALV-UjV8Jxe7wRZ8_A2spXs8vhW2uKdN_F6PGj0oZpGjJ89_8ze7wV9yqw,Transactions don't go through,1,0,0.0.392,2026-01-28 12:10:26,,,0.0.392
1432df96-460d-4b52-8191-388e3fd1aa30,Mwenda.J Ntongai,https://play-lh.googleusercontent.com/a-/ALV-UjVnc22oz8PvsyRRU9lUO9y1PUjwtFUQNSxzocpqOQeIA3BX-Ueq,Wonderful services,5,0,0.0.401,2026-01-28 10:54:46,,,0.0.401
c41ab7c0-aa92-4483-ab7a-67a326ff0f94,Mk Aqram pro,https://play-lh.googleusercontent.com/a-/ALV-UjVSrUzi_DYhp84pCN7a5XnJKlYqPL4f5nnMMABi1NsV-eIHmzQE,it's works very fast,5,0,0.0.392,2026-01-28 10:39:28,,,0.0.392
377f1838-6853-42d9-ab4b-4d82f731dcef,Chacha Victor,https://play-lh.googleusercontent.com/a/ACg8ocJ5SCAM_x-wXdEdINKVeXXz2475OuVUVeQA6iFsGobzCACiLg=mo,excellent,5,0,0.0.392,2026-01-28 10:09:45,,,0.0.392
bbfd3a98-9c67-426b-b40a-cb00dc1a4f6b,Edwin ombongi,https://play-lh.googleusercontent.com/a-/ALV-UjXxpIaPn1koBJtPx1k7HmKW5-Al7sFDt7JdyKZji4lx6E-YlpZ_,good service 💯,5,0,0.0.392,2026-01-27 23:51:33,"Hello Edwin, thank you for taking time to drop us a review. It's wonderful to hear that the App is serving its purpose for you. Keep enjoying the convenience in banking.",2026-01-28 09:58:11,0.0.392
695ea758-fa19-451e-97f3-2f58e2ae4064,Mejjah John,https://play-lh.googleusercontent.com/a-/ALV-UjVfa-2ofBkai6q1UuY6rv21UNtYCMjaJ3cEhfs0ZwBp6mnOlf3Sbg,how do you people charge less than 100?!,2,0,0.0.392,2026-01-27 23:24:03,"Hi John, thank you for reaching out to us.
We can confirm that all transactions under Ksh 100 is free of charge!",2026-01-28 09:57:47,0.0.392
ab960eb8-ff71-4979-950b-26e83c265e03,Adwar Onyango,https://play-lh.googleusercontent.com/a-/ALV-UjVUUpUAtrrUsfH_ISjph9eoAjfrRzwYrDN38LRy0OahAMlnBYmR,great,5,0,0.0.401,2026-01-27 23:10:14,Glad you like it!,2026-01-28 09:53:35,0.0.401
16fb32b0-7d59-4d96-87af-6c1b76ed992f,Bonface Wambui,https://play-lh.googleusercontent.com/a/ACg8ocLlP3lHvzwYdf4jXBq-KKpZzfSxLSeikl_iTgHaqVoZ6MwERQ=mo,This app never works for me even after upgrading the phone. Very disappointed!,5,0,0.0.392,2026-01-27 21:23:49,"Hello Bonface, thank you for letting us know your experience with the App. Kindly let us know the specific challenge you're encountering. We'll investigate and take steps to ensure it doesn't happen again.",2023-03-06 22:15:56,0.0.392
f64b071a-bbb1-400d-8ee9-7d84b9284289,Patrick Mwaniki,https://play-lh.googleusercontent.com/a/ACg8ocLUF4OSumQRWJiZ_17cuSPha1VeADhVD49-nnjSNAdgxXWr=mo,convenient for payments,5,0,0.0.392,2026-01-27 20:07:24,"Thank you for the splendid review, Patrick. We're delighted to hear that you're having a great experience with the App. Feel free to recommend the App to fellow members.",2026-01-28 09:53:29,0.0.392
e414641f-3c66-44b1-86ee-85e69d2bd3e6,Hesbon Kirwa,https://play-lh.googleusercontent.com/a-/ALV-UjWl5HyXFK32H9prqIIcS6RV_5mqdZdCw7CszhKlYIBVN3VqWqs,Pluperfect,5,0,0.0.392,2026-01-27 18:55:00,"Thank you so much for your encouraging star ratings!
",2026-01-28 09:53:07,0.0.392
9237348c-e661-4f15-9b47-85b45bc21911,Maxwell Arochi,https://play-lh.googleusercontent.com/a/ACg8ocIc_mmjvfxCnDZ4gDbFeFadF0_ZDdELiKzDYTJZcy7ywtfb=mo,a good bank,5,0,0.0.383,2026-01-27 16:44:02,Wow! thanks for the 5-star rating/review! We will keep working to provide a undisputed user experience.,2026-01-28 09:50:48,0.0.383
e9d93a0d-a2b2-41e6-8919-eb5823a64f14,Robert Muchiri,https://play-lh.googleusercontent.com/a-/ALV-UjUcVJFqVzo9STR4JQMWiYR_dnbi81EVDQ3dT_sPfF640SDMfu5g,EXCELLENT,5,0,0.0.401,2026-01-27 15:57:37,"Hi Robert, thank you for this awesome feedback.",2026-01-28 09:50:32,0.0.401
e1c325dd-54f7-4286-8da9-e7b910525dbb,Sumayyah nanyonga,https://play-lh.googleusercontent.com/a/ACg8ocLWTa0D5EchJUZRypWWGZE2f8ZYXHRf_XMsFu9nTfAcqC64vg=mo,it's good,5,0,0.0.392,2026-01-27 14:30:17,"Wow. We are glad to offer you the best, Nanyonga.",2026-01-28 09:50:08,0.0.392
5009fa02-b305-4c2f-b7d2-61e0b1515cfc,George Wanyonyi,https://play-lh.googleusercontent.com/a-/ALV-UjVcVzqqL-usmQhdmSCPGR_cWxBDFrW6UAG6i4NQqtW8KITIq78,very efficient for use,5,0,0.0.392,2026-01-27 13:42:24,Thank you for your encouraging words.,2026-01-28 09:49:18,0.0.392
272bfd1e-e252-43c5-aad8-3c89db168ee4,Mustafa Dadacha,https://play-lh.googleusercontent.com/a-/ALV-UjXHPYDXhNXiMViwTBq7wBojk6XvtkmR-77vVRTrjgBA-p63OjPQuQ,best,4,0,0.0.392,2026-01-27 13:23:18,"Hi Dadacha, thanks for your support. If you like us, please encourage us with 5★.
",2026-01-28 09:48:47,0.0.392
6b46c4a6-42d8-439a-8c7f-89115c65c70e,Sultan Mohamed,https://play-lh.googleusercontent.com/a-/ALV-UjVYmDGFUU_SbFTAGROsc11Yw27XiOSxgsJ8QeEy7t3BrYvftHeq,ok,5,0,0.0.401,2026-01-27 12:39:08,"Wow. We are glad to offer you the best, Mohamed.",2026-01-28 09:48:05,0.0.401
089276bc-e979-42a9-aebb-28d26e063083,wachira mugane,https://play-lh.googleusercontent.com/a-/ALV-UjWCT2jMTsTBte1YXJ3BG0bVCT0vXDT3XbHnWE4_UMA3yRSQYSwTBg,reliable 👌,5,0,0.0.401,2026-01-27 11:47:08,"Hi Wachira, thank you very much for your feedback.",2026-01-28 09:47:43,0.0.401
9a41d3bb-af68-43a7-b047-37e795d3663a,Alex Mucheru,https://play-lh.googleusercontent.com/a/ACg8ocLKucWCO28nisobh6BakT27YMCSUZJAuaJGqrgVRpUvvnQk5g=mo,"Very useless good app overall but poor management, even simple task like resetting pin can't access, just changed the bank because I was given documents to fill,then after proceeding to the official she told me to get a ticket after waiting two good hours bye guys,you assume that we have other options such as KCB and others very terrifing. and if I lie call me a donkey🤬",1,0,,2026-01-27 11:17:12,"Hi Alex,
We would like to chat with you with regards to your experience with us. Can you provide us your customer ID at info@equitybank.co.ke so that we can reach out?",2026-01-28 09:47:22,
86dd901a-a4ee-4707-b2bb-6b42b16ab26b,Muendo Mwova,https://play-lh.googleusercontent.com/a-/ALV-UjUq7POfwT1dHASc7XI2j-Z2db6X1kbvE1YWScsQ0wA5qlEzyV4,my loan is not accessible why,1,0,0.0.392,2026-01-27 08:52:13,"Hi Muendo, we'd love to help you. Please write to info@equitybank.co.ke and our team will help resolve your issue quickly.",2026-01-28 09:46:45,0.0.392
b3d4fe69-bfeb-4b41-ac3e-33a2fa6bff33,James Wachira,https://play-lh.googleusercontent.com/a-/ALV-UjUMMqals5IIVoNYuZtWsymWI7OuSPgyGPfCSNhL_SONWSUBfAc,well secured,5,0,0.0.392,2026-01-26 21:25:55,"Thank you for the five star review, we are honored.",2026-01-28 09:46:20,0.0.392
a57a0971-339d-434b-9710-5596b471cbf0,THE KIPANDES,https://play-lh.googleusercontent.com/a-/ALV-UjXrI4oR8Lx05d91FCoJ9UB0zszMtfR3iAmT4CvScxVwl4FzMHDi,Reliable,5,0,0.0.392,2026-01-26 21:13:32,"Thank you for your rating and review, it is a testament to the hard work our developers put into our App.
Thank you!",2026-01-28 09:45:54,0.0.392
c16a59da-4e41-44fa-9700-8fb075347a88,Has,https://play-lh.googleusercontent.com/a-/ALV-UjWRCFSO8zUzMJSlpNg85MAKKQYnIse6Goo-36vtgcA3eD_2YrV6pA,reliable and transparent,5,0,0.0.392,2026-01-26 20:17:10,"We appreciate the time you took to share this positive review.
Our efforts are focused on creating a seamless and delightful banking experience for you. Thank you for acknowledging our commitment in your review",2026-01-28 09:45:37,0.0.392
72751ac0-ecfe-41fd-b8da-24e24246c866,john ntongai,https://play-lh.googleusercontent.com/a/ACg8ocJqGmTDcdfxJZHOD3XPDhNUUqnMMsIxZeou4zTYVwngGn-HUQ=mo,Good but why this transaction,5,0,0.0.401,2026-01-26 17:36:14,"Hi John, can you please send us your account details along with the screenshot of the problem to info@equitybank.co.ke so that we can help you. Thank you for using our app.",2026-01-28 09:45:16,0.0.401
7ff58a76-83e7-4703-bff1-2a0d96a4cf5a,Shiks Wanji,https://play-lh.googleusercontent.com/a-/ALV-UjUbxKyX01mqNFTlnFSH_W8eiXwZZXL0AmkaR87uIJER1Wetw5M,"very convenient, useful and user friendly",5,0,,2026-01-26 15:55:22,Thank you for your encouraging words.,2026-01-28 09:44:57,
3ea2d741-f45d-433b-b64d-0e24831481c8,STEPHEN SITIENEI,https://play-lh.googleusercontent.com/a/ACg8ocJufQGs0Ld3YaW7cBVv3YpYu72VYRRB-y73Ls5IQNKpyKnjqQ=mo,secure and very easy to transact payment,5,0,0.0.392,2026-01-26 14:46:19,"Thank you for taking the time to write this positive review, Stephen.
We have worked to ensure that we make your banking experience easy and wonderful, thank you for your review.",2026-01-28 09:44:53,0.0.392
faee12c2-6dea-4ddc-9376-c4ba1350bd5f,Philip Mose,https://play-lh.googleusercontent.com/a/ACg8ocIAkqq-EAkxfZS09dXoIVHzISpDhj6cQuXcnQ8PtqHM4DLouA=mo,The best bank,5,0,0.0.392,2026-01-26 13:54:05,Thank you very much for your 5-star review!!!,2026-01-28 09:44:29,0.0.392
